Codes d'accès des tables (seed)
==================================================


## Café Lumière
  Table 1 (6 pl., LIBRE) → R09T01-IA5U6H
  Table 2 (2 pl., LIBRE) → R09T02-QZXEBB
  Table 3 (8 pl., LIBRE) → R09T03-ITNN8Z
  Table 4 (6 pl., LIBRE) → R09T04-05X4W7
  Table 5 (4 pl., LIBRE) → R09T05-NP84DY
  Table 6 (6 pl., LIBRE) → R09T06-J883DH
  Table 7 (2 pl., LIBRE) → R09T07-M92H3T
  Table 8 (4 pl., LIBRE) → R09T08-I12VJ9
  Table 9 (4 pl., LIBRE) → R09T09-2D5EM2
  Table 10 (6 pl., LIBRE) → R09T10-JEPECQ
  Table 11 (6 pl., LIBRE) → R09T11-DS8B25
  Table 12 (4 pl., LIBRE) → R09T12-8CROYR

## Chez Maman
  Table 1 (4 pl., LIBRE) → R02T01-1T2TAL
  Table 2 (2 pl., LIBRE) → R02T02-N93IIU
  Table 3 (2 pl., LIBRE) → R02T03-RC11ER
  Table 4 (4 pl., LIBRE) → R02T04-5PHT0H
  Table 5 (4 pl., LIBRE) → R02T05-YN6QIC
  Table 6 (2 pl., LIBRE) → R02T06-IHCWI6
  Table 7 (6 pl., LIBRE) → R02T07-IYHE7U
  Table 8 (8 pl., LIBRE) → R02T08-RODXMO
  Table 9 (2 pl., LIBRE) → R02T09-9DOM5I
  Table 10 (4 pl., LIBRE) → R02T10-FGQ5C3
  Table 11 (2 pl., LIBRE) → R02T11-94874F
  Table 12 (8 pl., LIBRE) → R02T12-56FAO7

## Grill & Smoke
  Table 1 (2 pl., RESERVEE) → R07T01-YJB1QX
  Table 2 (4 pl., LIBRE) → R07T02-VWRDML
  Table 3 (2 pl., LIBRE) → R07T03-LYK83T
  Table 4 (8 pl., LIBRE) → R07T04-JE153A
  Table 5 (8 pl., LIBRE) → R07T05-GN1W1H
  Table 6 (4 pl., PARTIELLE) → R07T06-5RBW2Z
  Table 7 (4 pl., LIBRE) → R07T07-TD96QE
  Table 8 (4 pl., LIBRE) → R07T08-ZSJ49I
  Table 9 (4 pl., LIBRE) → R07T09-7S55J2
  Table 10 (6 pl., LIBRE) → R07T10-2JA04U
  Table 11 (8 pl., LIBRE) → R07T11-QRL1N7
  Table 12 (4 pl., RESERVEE) → R07T12-IN4OLR

## La Brasserie du Fleuve
  Table 1 (4 pl., LIBRE) → R03T01-BCXULJ
  Table 2 (6 pl., LIBRE) → R03T02-OYKL1C
  Table 3 (8 pl., LIBRE) → R03T03-UDTSEM
